customer_id,segment,gender,past_3_years_bike_related_purchases,wealth_segment,owns_car,tenure,state,age_group,property_valuation,age,ltv
1,High-Value,Female,93,Mass Customer,Yes,11.0,NSW,"(59.0, 69.0]",10,67.0,3018.0899999999992
2,Low-Value,Male,81,Mass Customer,Yes,16.0,NSW,"(39.0, 49.0]",10,40.0,2226.26
4,Low-Value,Male,33,Mass Customer,No,7.0,QLD,"(49.0, 59.0]",9,59.0,220.57
5,Mid-Value,Female,56,Affluent Customer,Yes,8.0,NSW,"(39.0, 49.0]",4,43.0,2394.94
6,Mid-Value,Male,35,High Net Worth,Yes,13.0,VIC,"(49.0, 59.0]",9,54.0,3946.55
7,Low-Value,Female,6,Affluent Customer,Yes,11.0,NSW,"(39.0, 49.0]",9,45.0,220.10999999999999
8,High-Value,Male,31,Mass Customer,No,7.0,NSW,"(49.0, 59.0]",4,58.0,7066.94
9,Mid-Value,Female,97,Affluent Customer,Yes,8.0,NSW,"(39.0, 49.0]",12,48.0,2353.1099999999997
11,Mid-Value,Male,99,Mass Customer,No,9.0,VIC,"(59.0, 69.0]",8,66.0,3638.8400000000006
12,Mid-Value,Male,58,Mass Customer,No,8.0,QLD,"(19.0, 29.0]",4,26.0,3540.0299999999997
13,Mid-Value,Male,38,High Net Worth,Yes,8.0,VIC,"(59.0, 69.0]",6,66.0,4337.38
14,Low-Value,Female,85,Affluent Customer,No,6.0,NSW,"(29.0, 39.0]",8,37.0,1713.9
15,Mid-Value,Male,91,Mass Customer,No,1.0,NSW,"(19.0, 29.0]",9,20.0,1728.3900000000003
16,Mid-Value,Male,38,Mass Customer,Yes,18.0,VIC,"(39.0, 49.0]",4,44.0,4521.839999999999
17,Mid-Value,Male,57,Affluent Customer,Yes,15.0,VIC,"(49.0, 59.0]",9,59.0,2015.6100000000001
18,Mid-Value,Female,79,Affluent Customer,No,11.0,NSW,"(49.0, 59.0]",12,53.0,3543.3800000000006
19,Low-Value,Female,76,High Net Worth,No,1.0,NSW,"(10.0, 19.0]",9,19.0,2951.79
20,Mid-Value,Male,72,Mass Customer,No,11.0,NSW,"(39.0, 49.0]",8,40.0,3608.2799999999997
21,Mid-Value,Male,74,Affluent Customer,Yes,16.0,NSW,"(39.0, 49.0]",7,40.0,4229.41
24,Mid-Value,Female,55,Mass Customer,Yes,15.0,NSW,"(39.0, 49.0]",10,43.0,3689.3500000000004
25,High-Value,Male,72,Mass Customer,Yes,21.0,QLD,"(39.0, 49.0]",3,44.0,5333.660000000001
26,Low-Value,Female,12,Mass Customer,Yes,16.0,QLD,"(39.0, 49.0]",5,42.0,268.2399999999999
27,Mid-Value,Male,37,Mass Customer,Yes,12.0,VIC,"(39.0, 49.0]",7,42.0,3274.2500000000005
28,Mid-Value,Male,5,Affluent Customer,Yes,21.0,QLD,"(39.0, 49.0]",4,47.0,3366.5600000000004
29,High-Value,Female,62,Mass Customer,No,19.0,QLD,"(49.0, 59.0]",7,52.0,6175.299999999999
30,Mid-Value,Male,18,Affluent Customer,Yes,6.0,NSW,"(49.0, 59.0]",11,59.0,2633.9499999999994
31,Low-Value,Female,3,High Net Worth,Yes,14.0,NSW,"(49.0, 59.0]",12,58.0,426.10999999999996
32,Mid-Value,Female,17,Affluent Customer,No,4.0,NSW,"(19.0, 29.0]",9,25.0,2823.12
33,Mid-Value,Male,44,Affluent Customer,Yes,11.0,NSW,"(59.0, 69.0]",9,63.0,5294.27
34,Mid-Value,,59,Affluent Customer,No,20.0,QLD,,8,,4825.590000000001
35,Low-Value,Female,40,High Net Worth,Yes,16.0,QLD,"(49.0, 59.0]",6,57.0,3706.51
36,Low-Value,Female,33,Affluent Customer,No,22.0,NSW,"(39.0, 49.0]",8,43.0,204.36
37,High-Value,Female,46,High Net Worth,No,16.0,QLD,"(29.0, 39.0]",1,35.0,6338.49
38,Mid-Value,Female,37,Affluent Customer,No,20.0,QLD,"(59.0, 69.0]",4,65.0,2025.34
39,High-Value,Male,5,Mass Customer,No,22.0,NSW,"(39.0, 49.0]",10,41.0,6085.169999999998
40,Mid-Value,Female,91,Affluent Customer,No,14.0,NSW,"(29.0, 39.0]",8,39.0,4552.1
41,Mid-Value,Male,64,Mass Customer,No,16.0,VIC,"(39.0, 49.0]",9,44.0,4698.89
42,Low-Value,Female,24,Mass Customer,No,18.0,VIC,"(39.0, 49.0]",10,43.0,427.04
43,Mid-Value,Female,38,Mass Customer,No,5.0,QLD,"(29.0, 39.0]",8,38.0,3619.9500000000003
44,Mid-Value,Male,63,Affluent Customer,Yes,17.0,QLD,"(29.0, 39.0]",2,39.0,4768.28
45,Mid-Value,Male,64,Mass Customer,No,8.0,NSW,"(39.0, 49.0]",3,45.0,1048.1499999999996
46,Mid-Value,Female,98,Affluent Customer,Yes,15.0,VIC,"(39.0, 49.0]",6,49.0,1623.6299999999997
47,Mid-Value,Male,51,Affluent Customer,No,2.0,NSW,"(19.0, 29.0]",4,28.0,4332.1900000000005
48,Mid-Value,Female,46,Mass Customer,Yes,8.0,VIC,"(39.0, 49.0]",9,45.0,5561.079999999999
49,Mid-Value,Male,63,Affluent Customer,No,1.0,NSW,"(19.0, 29.0]",9,27.0,4248.68
50,Mid-Value,Male,38,Mass Customer,Yes,16.0,NSW,"(39.0, 49.0]",10,40.0,5783.66
51,Mid-Value,Male,68,Mass Customer,No,18.0,QLD,"(59.0, 69.0]",5,61.0,4855.400000000001
52,Mid-Value,Male,57,Mass Customer,Yes,13.0,NSW,"(29.0, 39.0]",8,32.0,5417.83
53,Mid-Value,Female,22,Mass Customer,No,16.0,QLD,"(59.0, 69.0]",3,66.0,2950.07
54,Mid-Value,Female,2,Mass Customer,Yes,18.0,NSW,"(49.0, 59.0]",8,54.0,4098.210000000001
55,Mid-Value,Male,48,Affluent Customer,Yes,7.0,NSW,"(59.0, 69.0]",10,64.0,3220.86
56,Mid-Value,Male,44,Mass Customer,Yes,4.0,NSW,"(19.0, 29.0]",10,24.0,1275.2399999999998
57,Mid-Value,Male,87,Mass Customer,Yes,13.0,QLD,"(29.0, 39.0]",6,32.0,5117.96
58,Mid-Value,Female,26,Affluent Customer,Yes,17.0,NSW,"(49.0, 59.0]",9,53.0,3501.37
59,Mid-Value,Male,60,High Net Worth,No,3.0,NSW,"(19.0, 29.0]",9,21.0,2628.37
60,Low-Value,Female,18,Mass Customer,No,10.0,NSW,"(49.0, 59.0]",10,51.0,647.22
61,Mid-Value,Female,47,High Net Worth,No,13.0,NSW,"(59.0, 69.0]",7,61.0,4254.240000000001
62,Mid-Value,Female,38,Mass Customer,Yes,22.0,NSW,"(39.0, 49.0]",8,41.0,4920.879999999999
63,Low-Value,Female,58,Mass Customer,Yes,16.0,NSW,"(49.0, 59.0]",9,55.0,2190.05
64,Mid-Value,Male,73,High Net Worth,No,4.0,VIC,"(39.0, 49.0]",8,42.0,546.6799999999997
65,Mid-Value,Male,21,Affluent Customer,Yes,15.0,NSW,"(39.0, 49.0]",10,44.0,4441.61
66,Mid-Value,Male,46,High Net Worth,No,1.0,NSW,"(10.0, 19.0]",10,19.0,4549.2
67,Mid-Value,Male,67,Mass Customer,No,18.0,NSW,"(59.0, 69.0]",10,60.0,1203.2899999999997
68,Mid-Value,Female,37,Affluent Customer,No,9.0,VIC,"(39.0, 49.0]",7,46.0,3842.5599999999986
69,Mid-Value,Female,16,Mass Customer,No,6.0,VIC,"(49.0, 59.0]",7,51.0,5294.75
70,Mid-Value,Male,78,Affluent Customer,No,8.0,NSW,"(19.0, 29.0]",12,28.0,2736.8999999999996
71,Low-Value,Male,30,Affluent Customer,Yes,12.0,NSW,"(29.0, 39.0]",10,36.0,155.6500000000001
72,Mid-Value,Male,93,Affluent Customer,Yes,16.0,QLD,"(39.0, 49.0]",6,49.0,2559.7799999999997
